,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance
22,Yes,Cash Back,Postcard,Low,1,No,Low,2,1,4,No,1364.75
23,Yes,Points,Postcard,Medium,2,No,Low,1,1,3,Yes,841.75
24,Yes,Air Miles,Postcard,Medium,2,No,Low,1,1,4,No,1327.25
25,Yes,Air Miles,Postcard,Low,1,Yes,Low,1,1,4,Yes,1034.75
26,Yes,Cash Back,Letter,Medium,1,No,Low,3,1,4,No,938.25
27,Yes,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,1054.75
28,Yes,Points,Postcard,Medium,1,No,High,1,1,2,Yes,612.75
29,Yes,Points,Postcard,Low,1,No,Low,2,1,1,No,1215.75
30,Yes,Cash Back,Postcard,Low,2,Yes,Low,2,1,3,Yes,1097.5
31,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,4,No,1070.0
32,Yes,Points,Postcard,High,1,No,Low,2,1,2,Yes,1126.25
33,Yes,Air Miles,Letter,High,2,Yes,Medium,1,1,4,Yes,175.75
34,Yes,Points,Postcard,Low,1,Yes,Low,1,1,5,No,825.5
35,Yes,Air Miles,Postcard,High,1,No,Low,1,2,5,Yes,259.25
36,Yes,Air Miles,Postcard,High,1,No,Medium,2,1,3,No,985.75
37,Yes,Points,Postcard,Medium,2,No,Low,2,1,5,Yes,955.75
38,Yes,Air Miles,Postcard,Medium,1,No,Low,2,2,4,Yes,1124.0
39,Yes,Air Miles,Postcard,Medium,1,No,Medium,1,1,5,Yes,1014.25
40,Yes,Air Miles,Postcard,Medium,2,Yes,Low,2,1,3,Yes,1074.75
41,Yes,Points,Postcard,High,1,No,Low,1,1,3,Yes,1015.75
42,Yes,Points,Postcard,Low,1,No,Low,2,2,3,No,970.75
43,Yes,Cash Back,Letter,Low,2,No,Low,2,1,4,Yes,1084.0
44,Yes,Points,Postcard,Low,1,No,Low,2,1,4,Yes,178.5
45,Yes,Points,Letter,Low,1,No,Low,2,1,6,Yes,140.0
46,Yes,Cash Back,Postcard,Medium,1,No,High,3,1,3,No,978.75
47,Yes,Points,Letter,Medium,1,No,Low,2,1,3,No,259.75
48,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,4,No,1246.0
49,Yes,Cash Back,Postcard,Medium,1,No,Low,3,1,3,Yes,1002.5
50,Yes,Cash Back,Postcard,Low,1,No,Medium,1,1,3,Yes,998.0
51,Yes,Air Miles,Letter,Low,2,No,Medium,2,1,3,Yes,1073.0
52,Yes,Points,Postcard,Medium,2,No,Medium,3,1,4,Yes,1318.5
53,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,5,No,1106.25
54,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,979.5
55,Yes,Points,Postcard,Medium,1,No,Medium,2,2,2,Yes,1380.0
56,Yes,Points,Postcard,Medium,1,No,Low,2,1,4,No,812.25
57,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,2,Yes,237.0
58,Yes,Air Miles,Postcard,Low,1,No,Low,1,1,3,Yes,1076.5
59,Yes,Points,Letter,Medium,1,No,Low,2,1,4,No,734.5
60,Yes,Points,Postcard,Low,1,No,Medium,1,1,3,Yes,1052.5
61,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,2,Yes,1053.5
62,Yes,Points,Postcard,Medium,1,No,Low,3,1,4,Yes,996.75
63,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,1,1,3,Yes,808.0
64,Yes,Air Miles,Postcard,High,1,Yes,Low,1,1,4,Yes,1069.75
65,Yes,Points,Letter,Low,2,Yes,Low,1,1,6,No,1105.0
66,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1185.0
67,Yes,Points,Letter,Low,1,Yes,Low,3,1,4,Yes,1086.75
68,Yes,Air Miles,Postcard,Medium,1,Yes,High,1,1,4,Yes,1102.75
69,Yes,Cash Back,Postcard,Low,1,No,Low,1,1,3,No,943.75
70,Yes,Air Miles,Letter,Low,2,No,Medium,2,2,4,No,332.0
71,Yes,Points,Letter,Medium,2,Yes,Medium,1,1,3,No,988.75
72,Yes,Air Miles,Letter,High,1,Yes,Low,2,2,4,Yes,1322.5
73,Yes,Points,Postcard,Low,1,No,Low,3,1,4,No,677.5
74,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,Yes,313.75
75,Yes,Air Miles,Postcard,Medium,2,No,Medium,1,1,4,Yes,702.25
76,Yes,Cash Back,Postcard,Low,2,No,Low,2,1,6,Yes,1010.0
77,Yes,Cash Back,Postcard,Low,1,Yes,Low,1,1,3,Yes,204.75
78,Yes,Air Miles,Letter,Medium,2,No,Low,1,1,4,Yes,1406.5
79,Yes,Cash Back,Postcard,Low,1,No,Low,1,1,3,Yes,288.5
80,Yes,Points,Postcard,Low,1,No,High,1,1,3,No,169.5
81,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,980.0
82,Yes,Points,Postcard,Medium,2,No,Low,2,1,3,No,1308.75
83,Yes,Cash Back,Postcard,Low,2,No,Low,1,2,4,Yes,241.75
84,Yes,Points,Letter,High,2,No,Low,3,2,5,Yes,1140.0
85,Yes,Cash Back,Postcard,Medium,2,No,High,2,1,4,Yes,195.5
86,Yes,Points,Postcard,Low,1,No,Medium,3,2,3,Yes,1058.0
87,Yes,Air Miles,Letter,Medium,1,No,Medium,2,1,3,Yes,251.5
88,Yes,Air Miles,Postcard,Low,1,No,Medium,2,1,3,No,1081.25
89,Yes,Air Miles,Postcard,Medium,1,No,Medium,3,1,2,Yes,209.0
90,Yes,Air Miles,Letter,Medium,1,Yes,High,1,1,2,Yes,947.0
91,Yes,Air Miles,Letter,High,1,No,Medium,1,1,3,Yes,1399.0
92,Yes,Air Miles,Letter,Low,1,Yes,Low,2,2,3,No,727.5
93,Yes,Air Miles,Postcard,Low,1,Yes,High,2,1,3,Yes,923.75
94,Yes,Points,Letter,High,1,No,High,2,1,4,Yes,930.5
95,Yes,Air Miles,Postcard,Low,1,No,High,1,1,5,Yes,876.0
96,Yes,Points,Letter,Medium,1,No,Low,1,1,1,No,1420.75
97,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,5,Yes,1066.5
98,Yes,Air Miles,Letter,Medium,2,No,Medium,2,1,2,Yes,761.0
99,Yes,Cash Back,Letter,Low,1,No,Low,3,1,3,Yes,943.0
100,Yes,Air Miles,Postcard,Low,1,No,Medium,1,2,3,No,806.25
101,Yes,Air Miles,Postcard,High,1,No,Medium,1,1,4,No,978.25
102,Yes,Points,Letter,Medium,1,No,Low,1,1,2,Yes,888.75
103,Yes,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,No,1609.75
104,Yes,Air Miles,Letter,Medium,1,No,Medium,2,1,5,No,787.25
105,Yes,Points,Postcard,High,1,Yes,Low,2,1,2,Yes,1310.25
106,Yes,Air Miles,Postcard,Medium,1,No,Low,2,1,3,Yes,252.75
107,Yes,Air Miles,Letter,Low,1,No,Medium,2,2,5,No,897.0
108,Yes,Points,Postcard,Medium,1,No,Medium,3,1,3,Yes,1000.5
109,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,4,Yes,992.0
110,Yes,Points,Postcard,Medium,1,No,Low,2,1,4,No,1066.25
111,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,1150.75
112,Yes,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,No,1073.0
113,Yes,Air Miles,Postcard,Medium,2,No,Low,1,1,5,Yes,949.25
114,Yes,Air Miles,Letter,Low,1,No,Low,1,1,3,No,968.75
115,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,1275.5
116,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,710.25
117,Yes,Air Miles,Letter,Medium,1,No,High,1,1,4,Yes,241.25
118,Yes,Points,Postcard,Low,1,No,Low,3,2,3,No,1156.0
119,Yes,Cash Back,Postcard,High,1,No,Low,2,1,2,No,1234.75
120,Yes,Points,Postcard,Medium,1,No,Low,2,2,4,Yes,1033.0
121,Yes,Air Miles,Letter,Medium,1,Yes,Low,1,1,1,No,911.5
122,Yes,Air Miles,Postcard,Medium,2,No,Low,3,1,3,Yes,1288.75
123,Yes,Points,Letter,Medium,1,Yes,Low,2,1,3,Yes,1033.75
124,Yes,Points,Postcard,Low,1,No,Low,3,2,2,No,928.0
125,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,4,Yes,1045.75
126,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,3,No,106.0
127,Yes,Air Miles,Postcard,Low,1,No,Low,1,1,4,Yes,1314.5
128,Yes,Air Miles,Postcard,High,2,No,Medium,3,2,5,Yes,660.25
129,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,4,No,210.75
130,Yes,Points,Postcard,Low,1,No,Low,2,1,5,Yes,1220.75
131,Yes,Points,Letter,High,1,No,Low,1,1,4,Yes,986.0
132,Yes,Points,Letter,Medium,1,No,Low,1,2,3,Yes,241.25
133,Yes,Points,Postcard,Medium,2,No,High,2,1,2,No,1049.0
134,Yes,Air Miles,Postcard,Low,1,No,Medium,2,1,5,Yes,1304.75
135,Yes,Points,Letter,Low,1,No,Low,2,1,3,No,1481.5
136,Yes,Points,Letter,Medium,2,No,Medium,1,1,3,No,1046.25
137,Yes,Points,Letter,Low,1,No,Low,1,1,2,Yes,1009.5
138,Yes,Points,Letter,Medium,1,No,Low,3,1,3,Yes,813.0
139,Yes,Air Miles,Postcard,Medium,1,No,Medium,3,2,3,Yes,886.0
140,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,No,799.5
141,Yes,Points,Postcard,Medium,2,No,Medium,3,1,6,Yes,1301.0
142,Yes,Cash Back,Postcard,Low,1,No,Low,1,2,4,Yes,1466.25
143,Yes,Points,Postcard,High,1,No,Low,2,1,5,Yes,260.75
144,Yes,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,1146.75
145,Yes,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,1409.75
146,Yes,Air Miles,Postcard,Low,1,No,Low,2,2,3,Yes,1401.25
147,Yes,Points,Postcard,Low,1,No,Low,1,2,4,No,1053.0
148,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,1158.0
149,Yes,Air Miles,Postcard,Low,2,No,Low,2,1,4,Yes,722.75
150,Yes,Cash Back,Postcard,High,1,No,Low,3,1,5,Yes,232.25
151,Yes,Cash Back,Postcard,Low,2,No,Low,2,1,3,Yes,1083.5
152,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,3,Yes,986.0
153,Yes,Air Miles,Letter,Medium,1,No,Low,1,2,2,No,849.25
154,Yes,Cash Back,Postcard,Medium,1,Yes,Medium,2,1,1,No,758.5
155,Yes,Air Miles,Postcard,Low,1,Yes,High,2,1,1,No,201.75
156,Yes,Points,Letter,High,2,No,Medium,1,1,5,Yes,1766.5
157,Yes,Cash Back,Letter,Low,1,No,Low,3,1,4,No,948.5
158,Yes,Air Miles,Postcard,Medium,2,Yes,High,2,1,3,Yes,1193.5
159,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,2,Yes,629.75
160,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,4,Yes,949.5
161,Yes,Points,Postcard,Low,1,No,Medium,2,1,3,Yes,1071.5
162,Yes,Air Miles,Letter,Low,1,No,High,2,1,4,Yes,867.0
163,Yes,Points,Postcard,Medium,1,No,Low,2,1,4,No,1215.5
164,Yes,Points,Letter,High,1,Yes,Medium,2,1,2,No,1210.75
165,Yes,Points,Postcard,Low,1,Yes,Medium,1,2,5,No,306.75
166,Yes,Points,Postcard,Medium,2,No,Low,1,1,3,Yes,977.5
167,Yes,Air Miles,Letter,Medium,1,No,Low,2,1,3,Yes,1191.75
168,Yes,Points,Postcard,Medium,1,No,Low,1,2,3,Yes,1079.0
169,Yes,Air Miles,Letter,Medium,1,No,Medium,1,2,3,No,962.75
170,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,1242.5
171,Yes,Points,Letter,High,1,No,Low,2,2,3,Yes,1193.0
172,Yes,Points,Letter,Medium,2,No,Low,2,1,3,Yes,1227.25
173,Yes,Points,Postcard,Low,1,No,Low,2,1,3,Yes,1321.0
174,Yes,Air Miles,Letter,Low,2,No,Low,2,1,2,Yes,1066.75
175,Yes,Air Miles,Postcard,Low,1,Yes,High,2,2,3,No,1736.0
176,Yes,Points,Postcard,Medium,1,No,Low,1,2,2,No,1052.75
177,Yes,Points,Postcard,Medium,1,No,Low,2,1,3,No,680.5
178,Yes,Points,Postcard,Low,1,No,Medium,2,2,4,No,1198.75
179,Yes,Air Miles,Postcard,Low,2,No,Low,3,1,4,No,961.5
180,Yes,Points,Letter,High,1,No,Low,3,1,4,Yes,1350.75
181,Yes,Points,Postcard,Low,2,No,High,1,1,4,Yes,686.25
182,Yes,Air Miles,Letter,Medium,1,No,Low,2,2,3,Yes,1154.0
183,Yes,Air Miles,Postcard,Low,1,Yes,Medium,1,1,5,No,1058.0
184,Yes,Points,Postcard,Medium,1,No,Low,3,1,3,No,179.0
185,Yes,Air Miles,Letter,Medium,1,No,High,2,2,3,Yes,271.75
186,Yes,Air Miles,Letter,Medium,2,No,Low,3,1,4,No,1054.0
187,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,3,Yes,1166.5
188,Yes,Cash Back,Postcard,Low,1,No,Low,2,1,3,No,1394.25
189,Yes,Air Miles,Postcard,High,1,No,Low,2,1,1,Yes,1033.75
190,Yes,Air Miles,Letter,Medium,1,No,Low,2,1,4,No,1128.25
191,Yes,Air Miles,Postcard,Low,2,No,Low,2,1,4,No,1173.25
192,Yes,Cash Back,Postcard,Medium,1,No,Low,1,2,3,No,1034.0
193,Yes,Cash Back,Postcard,Low,1,Yes,Low,2,1,3,No,716.75
194,Yes,Cash Back,Postcard,Medium,1,Yes,Low,1,1,2,No,952.0
195,Yes,Air Miles,Letter,Low,1,No,Medium,3,1,4,Yes,181.0
196,Yes,Cash Back,Letter,Medium,1,No,Low,2,2,3,No,898.5
197,Yes,Points,Postcard,High,1,No,Medium,3,1,4,Yes,1017.0
198,Yes,Points,Postcard,Low,2,No,Medium,2,1,3,No,1145.5
199,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,5,Yes,879.0
200,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,866.5
201,Yes,Points,Postcard,Medium,2,No,Low,1,1,3,No,1138.75
202,Yes,Points,Postcard,Low,1,No,Low,2,1,3,Yes,1026.5
203,Yes,Air Miles,Postcard,Low,1,No,Low,1,2,2,Yes,301.25
204,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,1274.25
205,Yes,Points,Postcard,Medium,1,No,Low,1,1,3,No,1027.0
206,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,4,No,291.25
207,Yes,Cash Back,Postcard,High,1,Yes,Low,2,2,6,Yes,1108.75
208,Yes,Cash Back,Letter,Low,2,Yes,Low,3,1,3,Yes,808.5
209,Yes,Points,Postcard,Low,1,No,High,2,1,3,Yes,1221.0
210,Yes,Air Miles,Postcard,Medium,2,No,Medium,2,1,2,Yes,1030.0
211,Yes,Points,Postcard,Low,1,No,Low,3,1,1,Yes,649.0
212,Yes,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,984.0
213,Yes,Points,Letter,High,1,No,Low,2,2,2,Yes,1763.0
214,Yes,Points,Postcard,Medium,1,No,Medium,2,1,2,Yes,158.5
215,Yes,Points,Postcard,Medium,2,No,Medium,2,1,4,Yes,1040.0
216,Yes,Points,Postcard,Low,1,No,Medium,1,1,3,Yes,951.75
217,Yes,Points,Postcard,Medium,1,No,Low,1,1,4,No,1098.75
218,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,1289.0
219,Yes,Air Miles,Letter,High,1,No,Low,2,1,4,Yes,1295.5
220,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,1366.0
221,Yes,Air Miles,Postcard,High,1,No,Medium,2,1,5,Yes,1129.75
222,Yes,Points,Postcard,Medium,1,No,High,3,1,3,No,946.25
223,Yes,Points,Postcard,Medium,2,No,Medium,1,1,3,Yes,1000.5
224,Yes,Points,Letter,High,2,No,Low,1,1,2,No,231.75
225,Yes,Cash Back,Postcard,Medium,1,No,Low,3,1,4,No,123.5
226,Yes,Air Miles,Postcard,Low,2,No,Medium,2,2,5,No,234.75
227,Yes,Points,Postcard,Low,1,No,Medium,2,1,3,Yes,1157.25
228,Yes,Air Miles,Postcard,Low,2,No,Low,1,2,2,No,980.75
229,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,No,930.0
230,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,4,No,1205.25
231,Yes,Points,Letter,High,1,No,Low,1,1,1,Yes,212.0
232,Yes,Points,Letter,Medium,1,Yes,Medium,1,1,4,No,1166.0
233,Yes,Air Miles,Postcard,Low,1,No,Medium,2,1,4,Yes,1136.5
234,Yes,Air Miles,Postcard,Medium,2,No,Low,2,1,4,Yes,1264.5
235,Yes,Cash Back,Postcard,Medium,1,No,Low,2,2,6,Yes,1242.75
236,Yes,Points,Postcard,Low,1,No,Low,1,1,4,Yes,205.25
237,Yes,Air Miles,Postcard,Medium,1,No,High,2,2,3,No,931.5
238,Yes,Points,Postcard,High,1,No,Low,1,1,4,Yes,834.5
239,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,2,Yes,1314.5
240,Yes,Points,Postcard,Low,1,No,Low,3,2,3,Yes,860.5
241,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,5,Yes,1126.5
242,Yes,Air Miles,Postcard,High,1,No,Medium,2,1,3,Yes,1466.5
243,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,1126.25
244,Yes,Air Miles,Letter,Medium,1,No,Low,3,2,3,No,230.25
245,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,3,No,298.5
246,Yes,Points,Postcard,High,1,No,Low,3,2,4,Yes,75.75
247,Yes,Cash Back,Postcard,Low,1,No,Low,3,1,3,No,274.25
248,Yes,Air Miles,Postcard,High,2,No,Low,3,1,3,Yes,832.5
249,Yes,Air Miles,Postcard,High,1,No,Low,1,1,4,No,1647.25
250,Yes,Air Miles,Postcard,High,1,No,High,2,1,5,No,1016.5
251,Yes,Air Miles,Postcard,Low,1,No,High,2,1,4,Yes,985.0
252,Yes,Air Miles,Postcard,High,1,No,High,2,1,3,No,1143.25
253,Yes,Air Miles,Letter,Low,2,No,High,2,1,5,Yes,1203.0
254,Yes,Cash Back,Postcard,Low,1,No,Low,3,2,5,Yes,1054.75
255,Yes,Cash Back,Letter,Low,1,No,Medium,2,1,3,Yes,975.0
256,Yes,Points,Postcard,Medium,1,No,Medium,1,2,4,No,1199.5
257,Yes,Points,Letter,Low,2,No,Low,1,1,4,Yes,628.75
258,Yes,Air Miles,Letter,Low,1,No,Low,1,1,3,No,1039.5
259,Yes,Points,Letter,Medium,1,No,Low,2,1,3,Yes,1044.75
260,Yes,Cash Back,Postcard,Low,2,No,Low,1,1,4,No,1066.75
261,Yes,Cash Back,Letter,Medium,1,No,Low,1,1,4,Yes,935.0
262,Yes,Points,Letter,Medium,1,No,Low,1,2,5,No,999.0
263,Yes,Air Miles,Postcard,High,1,No,High,1,1,4,Yes,121.0
264,Yes,Air Miles,Letter,Low,1,No,Low,2,1,4,Yes,358.5
265,Yes,Points,Postcard,Medium,2,No,Low,3,1,4,No,1008.5
266,Yes,Air Miles,Postcard,Low,1,Yes,High,2,1,4,Yes,1390.75
267,Yes,Air Miles,Postcard,Medium,1,Yes,Low,2,1,2,Yes,299.5
268,Yes,Air Miles,Postcard,Low,1,No,Medium,2,1,3,Yes,268.0
269,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,781.0
270,Yes,Points,Letter,Medium,1,No,Medium,2,1,2,Yes,1072.25
271,Yes,Points,Postcard,Medium,1,No,High,1,1,4,Yes,279.25
272,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,2,Yes,997.5
273,Yes,Air Miles,Postcard,High,1,No,Medium,3,1,2,Yes,1297.5
274,Yes,Air Miles,Letter,Medium,1,No,Low,2,2,3,Yes,946.0
275,Yes,Air Miles,Postcard,Medium,2,No,Low,2,1,2,Yes,1072.0
276,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,2,5,No,921.5
277,Yes,Cash Back,Letter,Low,1,No,Medium,1,1,6,Yes,213.0
278,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,3,Yes,1021.5
279,Yes,Points,Postcard,High,1,No,Low,3,1,4,No,1277.25
280,Yes,Air Miles,Postcard,High,1,No,Low,2,1,3,No,1274.0
281,Yes,Cash Back,Letter,Medium,1,No,Low,1,1,5,No,1162.0
282,Yes,Points,Postcard,Medium,2,No,Low,1,1,6,Yes,267.25
283,Yes,Points,Letter,Low,1,No,Medium,2,1,5,No,1116.75
284,Yes,Air Miles,Postcard,Low,1,Yes,Low,1,1,4,Yes,1285.5
285,Yes,Points,Postcard,Medium,1,No,High,2,1,3,Yes,334.0
286,Yes,Cash Back,Postcard,Low,1,No,Low,2,2,3,Yes,981.75
287,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,4,Yes,942.0
288,Yes,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,872.25
289,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,4,No,321.5
290,Yes,Points,Postcard,Low,2,No,Low,2,1,5,Yes,1238.5
291,Yes,Points,Postcard,High,1,No,Medium,2,2,3,Yes,1111.5
292,Yes,Air Miles,Postcard,Low,1,No,Low,1,1,5,Yes,173.75
293,Yes,Points,Postcard,High,1,No,Low,1,1,1,No,767.5
294,Yes,Points,Postcard,Medium,1,Yes,Low,2,2,4,Yes,1062.5
295,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,4,Yes,1055.25
296,Yes,Air Miles,Postcard,Medium,1,No,High,3,1,4,Yes,1195.75
297,Yes,Air Miles,Postcard,High,1,No,Low,3,1,4,No,939.5
298,Yes,Cash Back,Postcard,High,3,No,Medium,1,1,4,No,980.75
299,Yes,Air Miles,Letter,High,1,No,Medium,1,1,3,Yes,291.5
300,Yes,Points,Letter,Low,1,No,Medium,1,2,3,Yes,801.75
301,Yes,Air Miles,Postcard,Medium,1,Yes,Low,1,1,2,No,1236.25
302,Yes,Points,Letter,Medium,2,No,High,3,1,4,Yes,1054.25
303,Yes,Air Miles,Postcard,Medium,1,Yes,High,2,1,2,No,1298.75
304,Yes,Cash Back,Postcard,Low,1,No,Low,2,1,3,Yes,1094.25
305,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,2,No,1726.5
306,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,788.25
307,Yes,Points,Postcard,Medium,1,No,Low,1,1,4,No,960.25
308,Yes,Cash Back,Postcard,Medium,2,No,Low,2,1,5,No,1063.0
309,Yes,Points,Letter,Low,2,No,Low,1,1,3,No,1172.0
310,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,5,Yes,1005.5
311,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,4,No,168.5
312,Yes,Air Miles,Postcard,Low,2,No,Low,1,2,2,No,724.25
313,Yes,Air Miles,Postcard,Medium,2,Yes,High,2,2,4,No,1242.5
314,Yes,Air Miles,Postcard,High,1,No,Low,2,1,5,No,1025.5
315,Yes,Cash Back,Postcard,Medium,1,No,Medium,2,1,5,No,972.25
316,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,1,1,5,No,806.25
317,Yes,Points,Postcard,Medium,1,No,Low,2,2,4,No,381.0
318,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,5,Yes,1073.5
319,Yes,Air Miles,Postcard,High,1,Yes,Low,3,1,2,Yes,986.25
320,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,1,No,276.0
321,Yes,Cash Back,Postcard,Low,1,No,Low,2,2,3,No,1436.25
322,Yes,Air Miles,Letter,Medium,1,No,Medium,3,1,3,Yes,673.5
323,Yes,Air Miles,Postcard,Medium,1,No,Medium,3,1,5,Yes,1227.25
324,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,169.25
325,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,1123.5
326,Yes,Points,Postcard,Low,1,Yes,High,2,1,2,Yes,684.0
327,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,5,Yes,905.5
328,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,1315.25
329,Yes,Air Miles,Letter,High,1,No,Medium,2,1,5,No,1151.0
330,Yes,Air Miles,Letter,High,1,No,Low,2,1,3,Yes,886.75
331,Yes,Points,Postcard,High,1,No,Medium,1,1,2,Yes,1033.5
332,Yes,Air Miles,Postcard,High,1,No,Low,3,2,2,No,1197.75
333,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,3,Yes,1235.5
334,Yes,Points,Letter,Low,1,No,Low,3,1,3,No,321.5
335,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,1143.5
336,Yes,Air Miles,Postcard,High,1,No,Low,2,1,3,Yes,1034.25
337,Yes,Air Miles,Letter,Low,1,Yes,Low,2,1,6,Yes,1045.0
338,Yes,Points,Postcard,Medium,1,No,Low,1,1,4,No,776.75
339,Yes,Points,Postcard,High,1,No,Medium,1,1,4,No,1028.25
340,Yes,Air Miles,Postcard,Low,1,No,High,2,1,3,No,892.5
341,Yes,Air Miles,Letter,Low,1,No,Low,3,1,2,Yes,873.5
342,Yes,Points,Postcard,Medium,1,No,Low,1,2,5,Yes,1178.5
343,Yes,Air Miles,Postcard,Low,1,No,Low,2,2,3,No,973.5
