,Offer Accepted,Reward,Mailer Type,Income Level,Credit Rating,# Credit Cards Held,Household Size
59,Yes,Points,Letter,Medium,Low,2,4
60,Yes,Points,Postcard,Low,Medium,1,3
61,Yes,Air Miles,Postcard,Medium,Low,1,2
62,Yes,Points,Postcard,Medium,Low,3,4
63,Yes,Air Miles,Postcard,Medium,Medium,1,3
64,Yes,Air Miles,Postcard,High,Low,1,4
65,Yes,Points,Letter,Low,Low,1,6
66,Yes,Air Miles,Postcard,Medium,High,2,3
67,Yes,Points,Letter,Low,Low,3,4
68,Yes,Air Miles,Postcard,Medium,High,1,4
69,Yes,Cash Back,Postcard,Low,Low,1,3
70,Yes,Air Miles,Letter,Low,Medium,2,4
71,Yes,Points,Letter,Medium,Medium,1,3
72,Yes,Air Miles,Letter,High,Low,2,4
73,Yes,Points,Postcard,Low,Low,3,4
74,Yes,Cash Back,Postcard,Medium,Low,1,4
75,Yes,Air Miles,Postcard,Medium,Medium,1,4
76,Yes,Cash Back,Postcard,Low,Low,2,6
77,Yes,Cash Back,Postcard,Low,Low,1,3
78,Yes,Air Miles,Letter,Medium,Low,1,4
79,Yes,Cash Back,Postcard,Low,Low,1,3
80,Yes,Points,Postcard,Low,High,1,3
81,Yes,Air Miles,Postcard,Medium,Medium,2,4
82,Yes,Points,Postcard,Medium,Low,2,3
83,Yes,Cash Back,Postcard,Low,Low,1,4
84,Yes,Points,Letter,High,Low,3,5
85,Yes,Cash Back,Postcard,Medium,High,2,4
86,Yes,Points,Postcard,Low,Medium,3,3
87,Yes,Air Miles,Letter,Medium,Medium,2,3
88,Yes,Air Miles,Postcard,Low,Medium,2,3
89,Yes,Air Miles,Postcard,Medium,Medium,3,2
90,Yes,Air Miles,Letter,Medium,High,1,2
91,Yes,Air Miles,Letter,High,Medium,1,3
92,Yes,Air Miles,Letter,Low,Low,2,3
93,Yes,Air Miles,Postcard,Low,High,2,3
94,Yes,Points,Letter,High,High,2,4
95,Yes,Air Miles,Postcard,Low,High,1,5
96,Yes,Points,Letter,Medium,Low,1,1
97,Yes,Air Miles,Postcard,Low,Medium,1,5
98,Yes,Air Miles,Letter,Medium,Medium,2,2
99,Yes,Cash Back,Letter,Low,Low,3,3
100,Yes,Air Miles,Postcard,Low,Medium,1,3
101,Yes,Air Miles,Postcard,High,Medium,1,4
102,Yes,Points,Letter,Medium,Low,1,2
103,Yes,Cash Back,Postcard,Medium,Medium,2,3
104,Yes,Air Miles,Letter,Medium,Medium,2,5
105,Yes,Points,Postcard,High,Low,2,2
106,Yes,Air Miles,Postcard,Medium,Low,2,3
107,Yes,Air Miles,Letter,Low,Medium,2,5
108,Yes,Points,Postcard,Medium,Medium,3,3
109,Yes,Air Miles,Postcard,Low,Low,3,4
110,Yes,Points,Postcard,Medium,Low,2,4
111,Yes,Cash Back,Postcard,Medium,Low,2,3
112,Yes,Cash Back,Postcard,Medium,Medium,3,3
113,Yes,Air Miles,Postcard,Medium,Low,1,5
114,Yes,Air Miles,Letter,Low,Low,1,3
115,Yes,Air Miles,Postcard,Medium,Medium,2,3
116,Yes,Cash Back,Postcard,Medium,Low,2,3
117,Yes,Air Miles,Letter,Medium,High,1,4
118,Yes,Points,Postcard,Low,Low,3,3
119,Yes,Cash Back,Postcard,High,Low,2,2
120,Yes,Points,Postcard,Medium,Low,2,4
121,Yes,Air Miles,Letter,Medium,Low,1,1
122,Yes,Air Miles,Postcard,Medium,Low,3,3
123,Yes,Points,Letter,Medium,Low,2,3
124,Yes,Points,Postcard,Low,Low,3,2
125,Yes,Air Miles,Postcard,Low,Medium,1,4
126,Yes,Air Miles,Letter,Low,Medium,2,3
127,Yes,Air Miles,Postcard,Low,Low,1,4
128,Yes,Air Miles,Postcard,High,Medium,3,5
129,Yes,Air Miles,Postcard,Low,Medium,1,4
130,Yes,Points,Postcard,Low,Low,2,5
131,Yes,Points,Letter,High,Low,1,4
132,Yes,Points,Letter,Medium,Low,1,3
133,Yes,Points,Postcard,Medium,High,2,2
134,Yes,Air Miles,Postcard,Low,Medium,2,5
135,Yes,Points,Letter,Low,Low,2,3
136,Yes,Points,Letter,Medium,Medium,1,3
137,Yes,Points,Letter,Low,Low,1,2
138,Yes,Points,Letter,Medium,Low,3,3
139,Yes,Air Miles,Postcard,Medium,Medium,3,3
140,Yes,Cash Back,Postcard,Medium,Low,1,4
141,Yes,Points,Postcard,Medium,Medium,3,6
142,Yes,Cash Back,Postcard,Low,Low,1,4
143,Yes,Points,Postcard,High,Low,2,5
144,Yes,Cash Back,Letter,High,Low,2,4
145,Yes,Air Miles,Letter,Medium,Medium,2,2
146,Yes,Air Miles,Postcard,Low,Low,2,3
147,Yes,Points,Postcard,Low,Low,1,4
148,Yes,Air Miles,Postcard,Medium,Low,3,3
149,Yes,Air Miles,Postcard,Low,Low,2,4
150,Yes,Cash Back,Postcard,High,Low,3,5
151,Yes,Cash Back,Postcard,Low,Low,2,3
152,Yes,Air Miles,Letter,Low,Medium,2,3
153,Yes,Air Miles,Letter,Medium,Low,1,2
154,Yes,Cash Back,Postcard,Medium,Medium,2,1
155,Yes,Air Miles,Postcard,Low,High,2,1
156,Yes,Points,Letter,High,Medium,1,5
157,Yes,Cash Back,Letter,Low,Low,3,4
158,Yes,Air Miles,Postcard,Medium,High,2,3
159,Yes,Cash Back,Postcard,Medium,Low,2,2
160,Yes,Air Miles,Postcard,Medium,High,2,4
161,Yes,Points,Postcard,Low,Medium,2,3
162,Yes,Air Miles,Letter,Low,High,2,4
163,Yes,Points,Postcard,Medium,Low,2,4
164,Yes,Points,Letter,High,Medium,2,2
165,Yes,Points,Postcard,Low,Medium,1,5
166,Yes,Points,Postcard,Medium,Low,1,3
167,Yes,Air Miles,Letter,Medium,Low,2,3
168,Yes,Points,Postcard,Medium,Low,1,3
169,Yes,Air Miles,Letter,Medium,Medium,1,3
170,Yes,Cash Back,Postcard,Medium,Low,1,3
171,Yes,Points,Letter,High,Low,2,3
172,Yes,Points,Letter,Medium,Low,2,3
173,Yes,Points,Postcard,Low,Low,2,3
174,Yes,Air Miles,Letter,Low,Low,2,2
175,Yes,Air Miles,Postcard,Low,High,2,3
176,Yes,Points,Postcard,Medium,Low,1,2
177,Yes,Points,Postcard,Medium,Low,2,3
178,Yes,Points,Postcard,Low,Medium,2,4
179,Yes,Air Miles,Postcard,Low,Low,3,4
180,Yes,Points,Letter,High,Low,3,4
181,Yes,Points,Postcard,Low,High,1,4
182,Yes,Air Miles,Letter,Medium,Low,2,3
183,Yes,Air Miles,Postcard,Low,Medium,1,5
184,Yes,Points,Postcard,Medium,Low,3,3
185,Yes,Air Miles,Letter,Medium,High,2,3
186,Yes,Air Miles,Letter,Medium,Low,3,4
187,Yes,Air Miles,Postcard,Medium,Low,1,3
188,Yes,Cash Back,Postcard,Low,Low,2,3
189,Yes,Air Miles,Postcard,High,Low,2,1
190,Yes,Air Miles,Letter,Medium,Low,2,4
191,Yes,Air Miles,Postcard,Low,Low,2,4
192,Yes,Cash Back,Postcard,Medium,Low,1,3
193,Yes,Cash Back,Postcard,Low,Low,2,3
194,Yes,Cash Back,Postcard,Medium,Low,1,2
195,Yes,Air Miles,Letter,Low,Medium,3,4
196,Yes,Cash Back,Letter,Medium,Low,2,3
197,Yes,Points,Postcard,High,Medium,3,4
198,Yes,Points,Postcard,Low,Medium,2,3
199,Yes,Air Miles,Letter,Low,Medium,2,5
200,Yes,Air Miles,Postcard,Medium,Low,1,4
201,Yes,Points,Postcard,Medium,Low,1,3
202,Yes,Points,Postcard,Low,Low,2,3
203,Yes,Air Miles,Postcard,Low,Low,1,2
204,Yes,Air Miles,Letter,Medium,Low,1,2
205,Yes,Points,Postcard,Medium,Low,1,3
206,Yes,Air Miles,Postcard,Low,Low,2,4
207,Yes,Cash Back,Postcard,High,Low,2,6
208,Yes,Cash Back,Letter,Low,Low,3,3
209,Yes,Points,Postcard,Low,High,2,3
210,Yes,Air Miles,Postcard,Medium,Medium,2,2
211,Yes,Points,Postcard,Low,Low,3,1
212,Yes,Points,Letter,Medium,Medium,2,3
213,Yes,Points,Letter,High,Low,2,2
214,Yes,Points,Postcard,Medium,Medium,2,2
215,Yes,Points,Postcard,Medium,Medium,2,4
216,Yes,Points,Postcard,Low,Medium,1,3
217,Yes,Points,Postcard,Medium,Low,1,4
218,Yes,Air Miles,Postcard,Medium,Low,1,4
219,Yes,Air Miles,Letter,High,Low,2,4
220,Yes,Air Miles,Postcard,Low,Medium,1,3
221,Yes,Air Miles,Postcard,High,Medium,2,5
222,Yes,Points,Postcard,Medium,High,3,3
223,Yes,Points,Postcard,Medium,Medium,1,3
224,Yes,Points,Letter,High,Low,1,2
225,Yes,Cash Back,Postcard,Medium,Low,3,4
226,Yes,Air Miles,Postcard,Low,Medium,2,5
227,Yes,Points,Postcard,Low,Medium,2,3
228,Yes,Air Miles,Postcard,Low,Low,1,2
229,Yes,Cash Back,Postcard,Medium,Low,1,4
230,Yes,Air Miles,Postcard,Low,Low,2,4
231,Yes,Points,Letter,High,Low,1,1
232,Yes,Points,Letter,Medium,Medium,1,4
233,Yes,Air Miles,Postcard,Low,Medium,2,4
234,Yes,Air Miles,Postcard,Medium,Low,2,4
235,Yes,Cash Back,Postcard,Medium,Low,2,6
236,Yes,Points,Postcard,Low,Low,1,4
237,Yes,Air Miles,Postcard,Medium,High,2,3
238,Yes,Points,Postcard,High,Low,1,4
239,Yes,Cash Back,Postcard,Medium,Low,1,2
240,Yes,Points,Postcard,Low,Low,3,3
241,Yes,Air Miles,Postcard,Medium,Medium,2,5
242,Yes,Air Miles,Postcard,High,Medium,2,3
243,Yes,Air Miles,Postcard,Low,Medium,1,3
244,Yes,Air Miles,Letter,Medium,Low,3,3
245,Yes,Cash Back,Postcard,Medium,Low,1,3
246,Yes,Points,Postcard,High,Low,3,4
247,Yes,Cash Back,Postcard,Low,Low,3,3
248,Yes,Air Miles,Postcard,High,Low,3,3
249,Yes,Air Miles,Postcard,High,Low,1,4
250,Yes,Air Miles,Postcard,High,High,2,5
251,Yes,Air Miles,Postcard,Low,High,2,4
252,Yes,Air Miles,Postcard,High,High,2,3
253,Yes,Air Miles,Letter,Low,High,2,5
254,Yes,Cash Back,Postcard,Low,Low,3,5
255,Yes,Cash Back,Letter,Low,Medium,2,3
256,Yes,Points,Postcard,Medium,Medium,1,4
257,Yes,Points,Letter,Low,Low,1,4
258,Yes,Air Miles,Letter,Low,Low,1,3
259,Yes,Points,Letter,Medium,Low,2,3
260,Yes,Cash Back,Postcard,Low,Low,1,4
261,Yes,Cash Back,Letter,Medium,Low,1,4
262,Yes,Points,Letter,Medium,Low,1,5
263,Yes,Air Miles,Postcard,High,High,1,4
264,Yes,Air Miles,Letter,Low,Low,2,4
265,Yes,Points,Postcard,Medium,Low,3,4
266,Yes,Air Miles,Postcard,Low,High,2,4
267,Yes,Air Miles,Postcard,Medium,Low,2,2
268,Yes,Air Miles,Postcard,Low,Medium,2,3
269,Yes,Air Miles,Postcard,Medium,Low,1,4
270,Yes,Points,Letter,Medium,Medium,2,2
271,Yes,Points,Postcard,Medium,High,1,4
272,Yes,Air Miles,Postcard,Medium,Medium,2,2
273,Yes,Air Miles,Postcard,High,Medium,3,2
274,Yes,Air Miles,Letter,Medium,Low,2,3
275,Yes,Air Miles,Postcard,Medium,Low,2,2
276,Yes,Air Miles,Postcard,Medium,Medium,2,5
277,Yes,Cash Back,Letter,Low,Medium,1,6
278,Yes,Air Miles,Postcard,Low,Low,2,3
279,Yes,Points,Postcard,High,Low,3,4
280,Yes,Air Miles,Postcard,High,Low,2,3
281,Yes,Cash Back,Letter,Medium,Low,1,5
282,Yes,Points,Postcard,Medium,Low,1,6
283,Yes,Points,Letter,Low,Medium,2,5
284,Yes,Air Miles,Postcard,Low,Low,1,4
285,Yes,Points,Postcard,Medium,High,2,3
286,Yes,Cash Back,Postcard,Low,Low,2,3
287,Yes,Air Miles,Postcard,Low,Low,2,4
288,Yes,Cash Back,Letter,High,Low,2,4
289,Yes,Air Miles,Postcard,Low,Low,3,4
290,Yes,Points,Postcard,Low,Low,2,5
291,Yes,Points,Postcard,High,Medium,2,3
292,Yes,Air Miles,Postcard,Low,Low,1,5
293,Yes,Points,Postcard,High,Low,1,1
294,Yes,Points,Postcard,Medium,Low,2,4
295,Yes,Air Miles,Postcard,Medium,Low,3,4
296,Yes,Air Miles,Postcard,Medium,High,3,4
297,Yes,Air Miles,Postcard,High,Low,3,4
298,Yes,Cash Back,Postcard,High,Medium,1,4
299,Yes,Air Miles,Letter,High,Medium,1,3
300,Yes,Points,Letter,Low,Medium,1,3
301,Yes,Air Miles,Postcard,Medium,Low,1,2
302,Yes,Points,Letter,Medium,High,3,4
303,Yes,Air Miles,Postcard,Medium,High,2,2
304,Yes,Cash Back,Postcard,Low,Low,2,3
305,Yes,Air Miles,Postcard,Low,Low,2,2
306,Yes,Air Miles,Postcard,Medium,Low,1,4
307,Yes,Points,Postcard,Medium,Low,1,4
308,Yes,Cash Back,Postcard,Medium,Low,2,5
309,Yes,Points,Letter,Low,Low,1,3
310,Yes,Air Miles,Postcard,Medium,Low,3,5
311,Yes,Air Miles,Postcard,Low,Low,2,4
312,Yes,Air Miles,Postcard,Low,Low,1,2
313,Yes,Air Miles,Postcard,Medium,High,2,4
314,Yes,Air Miles,Postcard,High,Low,2,5
315,Yes,Cash Back,Postcard,Medium,Medium,2,5
316,Yes,Air Miles,Postcard,Medium,Medium,1,5
317,Yes,Points,Postcard,Medium,Low,2,4
318,Yes,Air Miles,Letter,Medium,Low,1,5
319,Yes,Air Miles,Postcard,High,Low,3,2
320,Yes,Air Miles,Postcard,Low,Low,2,1
321,Yes,Cash Back,Postcard,Low,Low,2,3
322,Yes,Air Miles,Letter,Medium,Medium,3,3
323,Yes,Air Miles,Postcard,Medium,Medium,3,5
324,Yes,Air Miles,Postcard,Medium,Medium,2,4
325,Yes,Cash Back,Postcard,Medium,Low,1,3
326,Yes,Points,Postcard,Low,High,2,2
327,Yes,Cash Back,Postcard,Medium,Low,2,5
328,Yes,Air Miles,Postcard,Low,Medium,1,3
329,Yes,Air Miles,Letter,High,Medium,2,5
330,Yes,Air Miles,Letter,High,Low,2,3
331,Yes,Points,Postcard,High,Medium,1,2
332,Yes,Air Miles,Postcard,High,Low,3,2
333,Yes,Air Miles,Postcard,Medium,Medium,3,3
334,Yes,Points,Letter,Low,Low,3,3
335,Yes,Air Miles,Postcard,Medium,Low,3,3
336,Yes,Air Miles,Postcard,High,Low,2,3
337,Yes,Air Miles,Letter,Low,Low,2,6
338,Yes,Points,Postcard,Medium,Low,1,4
339,Yes,Points,Postcard,High,Medium,1,4
340,Yes,Air Miles,Postcard,Low,High,2,3
341,Yes,Air Miles,Letter,Low,Low,3,2
342,Yes,Points,Postcard,Medium,Low,1,5
343,Yes,Air Miles,Postcard,Low,Low,2,3
344,Yes,Air Miles,Letter,Low,Low,3,3
345,Yes,Points,Postcard,Medium,Medium,2,3
346,Yes,Points,Letter,High,Low,1,3
347,Yes,Points,Postcard,Medium,Low,2,3
348,Yes,Cash Back,Letter,High,Low,2,6
349,Yes,Air Miles,Letter,High,Low,2,5
350,Yes,Points,Letter,Medium,High,1,3
351,Yes,Air Miles,Postcard,Medium,Medium,3,3
352,Yes,Cash Back,Postcard,Medium,Low,2,3
353,Yes,Points,Postcard,Medium,Low,1,2
354,Yes,Air Miles,Postcard,High,Low,1,4
355,Yes,Cash Back,Postcard,Low,High,3,4
356,Yes,Air Miles,Postcard,Medium,High,2,3
357,Yes,Air Miles,Postcard,Low,Low,2,5
358,Yes,Air Miles,Postcard,Medium,Low,1,5
359,Yes,Air Miles,Postcard,Medium,Medium,1,5
360,Yes,Air Miles,Postcard,Medium,Medium,1,2
361,Yes,Points,Letter,Medium,Low,2,4
362,Yes,Cash Back,Postcard,Low,Low,1,4
363,Yes,Points,Postcard,Medium,Low,3,2
364,Yes,Air Miles,Letter,Medium,Low,3,1
365,Yes,Air Miles,Letter,Medium,Low,1,2
366,Yes,Points,Postcard,High,Medium,2,5
367,Yes,Points,Letter,Medium,Low,1,2
368,Yes,Cash Back,Postcard,Medium,Low,1,3
369,Yes,Points,Postcard,Low,Medium,1,3
370,Yes,Cash Back,Postcard,Low,Medium,2,2
371,Yes,Cash Back,Postcard,Medium,Low,2,5
372,Yes,Points,Letter,Low,Low,1,2
373,Yes,Air Miles,Postcard,Medium,Low,1,4
374,Yes,Air Miles,Postcard,Low,Low,1,3
375,Yes,Air Miles,Letter,High,Low,2,3
376,Yes,Cash Back,Postcard,Low,High,1,5
377,Yes,Cash Back,Postcard,High,Low,3,3
378,Yes,Points,Postcard,Low,Low,1,4
379,Yes,Points,Postcard,Medium,Low,1,3
380,Yes,Cash Back,Letter,Medium,Medium,2,2
381,Yes,Cash Back,Postcard,Medium,Medium,1,4
382,Yes,Air Miles,Letter,Medium,Low,1,4
383,Yes,Air Miles,Postcard,High,Low,1,4
384,Yes,Cash Back,Postcard,Medium,Low,2,4
385,Yes,Air Miles,Postcard,Medium,Medium,1,6
386,Yes,Points,Letter,Low,Low,1,3
387,Yes,Cash Back,Postcard,Medium,Low,2,1
388,Yes,Air Miles,Postcard,High,Medium,2,5
389,Yes,Points,Postcard,High,Medium,1,1
390,Yes,Points,Letter,Low,Low,1,3
391,Yes,Air Miles,Postcard,Low,Medium,2,4
392,Yes,Cash Back,Postcard,Medium,Low,2,1
393,Yes,Points,Letter,Medium,Low,2,3
394,Yes,Cash Back,Postcard,Low,High,1,5
395,Yes,Points,Postcard,Medium,Low,3,3
396,Yes,Cash Back,Postcard,Low,Low,3,2
397,Yes,Air Miles,Letter,Low,Low,2,2
398,Yes,Cash Back,Postcard,Low,Low,2,3
399,Yes,Points,Postcard,High,Low,2,3
400,Yes,Air Miles,Postcard,Medium,Medium,1,4
401,Yes,Air Miles,Postcard,Medium,High,2,3
402,Yes,Air Miles,Postcard,Low,High,3,4
403,Yes,Air Miles,Postcard,Medium,Medium,1,2
404,Yes,Points,Postcard,Medium,Low,2,1
405,Yes,Cash Back,Postcard,Low,Medium,1,3
406,Yes,Cash Back,Postcard,Low,Low,3,4
407,Yes,Points,Postcard,Medium,Low,3,3
408,Yes,Air Miles,Letter,Medium,Medium,1,2
409,Yes,Cash Back,Postcard,Low,High,1,2
410,Yes,Points,Postcard,Medium,Medium,1,2
411,Yes,Points,Letter,High,Low,1,3
412,Yes,Points,Letter,Medium,High,1,3
413,Yes,Air Miles,Letter,Low,Low,2,1
414,Yes,Points,Postcard,High,High,2,4
415,Yes,Air Miles,Postcard,Medium,Low,2,5
416,Yes,Air Miles,Postcard,Medium,Low,1,4
417,Yes,Points,Postcard,Low,Medium,3,1
418,Yes,Air Miles,Postcard,Low,Low,1,3
419,Yes,Points,Postcard,Medium,Medium,2,3
420,Yes,Points,Postcard,Medium,Low,3,2
421,Yes,Cash Back,Postcard,Low,Medium,3,3
422,Yes,Air Miles,Postcard,Medium,Low,3,3
423,Yes,Points,Letter,Medium,Medium,2,3
424,Yes,Cash Back,Postcard,Medium,Low,1,3
425,Yes,Points,Postcard,Low,Low,1,1
426,Yes,Points,Letter,Medium,Low,3,5
427,Yes,Cash Back,Postcard,High,Medium,1,3
428,Yes,Air Miles,Postcard,Medium,Low,1,4
429,Yes,Cash Back,Postcard,High,Medium,3,4
430,Yes,Points,Letter,Medium,Low,2,6
431,Yes,Air Miles,Letter,Medium,Low,2,2
432,Yes,Points,Postcard,Medium,Low,1,4
433,Yes,Air Miles,Letter,Low,High,1,4
434,Yes,Points,Postcard,Low,Low,1,5
435,Yes,Air Miles,Postcard,Low,Medium,1,2
436,Yes,Cash Back,Postcard,High,Low,3,3
437,Yes,Cash Back,Letter,Medium,Low,2,6
438,Yes,Points,Letter,Medium,Low,3,3
439,Yes,Air Miles,Postcard,Medium,Low,2,2
440,Yes,Air Miles,Letter,Low,High,2,5
441,Yes,Points,Letter,Low,Low,1,2
442,Yes,Points,Letter,High,High,2,5
443,Yes,Air Miles,Letter,Medium,Medium,3,5
444,Yes,Points,Letter,Medium,Medium,2,4
445,Yes,Air Miles,Postcard,Medium,Low,3,4
446,Yes,Cash Back,Postcard,Low,Low,1,4
447,Yes,Cash Back,Postcard,Low,Medium,2,2
448,Yes,Air Miles,Letter,Low,Medium,2,4
449,Yes,Air Miles,Letter,Medium,Medium,3,3
450,Yes,Points,Postcard,Low,Low,2,4
451,Yes,Air Miles,Letter,Medium,Medium,3,3
452,Yes,Air Miles,Postcard,Low,Low,2,4
453,Yes,Air Miles,Postcard,Medium,Low,3,3
454,Yes,Cash Back,Postcard,Low,Low,2,3
455,Yes,Points,Postcard,Low,Low,2,2
456,Yes,Points,Postcard,Medium,High,2,4
457,Yes,Points,Postcard,Medium,Low,2,2
458,Yes,Air Miles,Letter,Medium,Medium,2,2
459,Yes,Points,Postcard,Low,Medium,2,3
460,Yes,Air Miles,Letter,Medium,Medium,1,5
461,Yes,Air Miles,Letter,High,Low,3,1
462,Yes,Air Miles,Postcard,Low,Low,2,5
463,Yes,Points,Postcard,Medium,Low,3,4
464,Yes,Cash Back,Postcard,Medium,Low,2,5
465,Yes,Air Miles,Postcard,Medium,Low,1,4
466,Yes,Points,Letter,Medium,Low,3,1
467,Yes,Air Miles,Postcard,Low,Low,3,3
468,Yes,Cash Back,Postcard,Medium,Low,1,4
469,Yes,Air Miles,Postcard,Low,Low,1,1
470,Yes,Cash Back,Letter,Medium,Low,1,4
471,Yes,Air Miles,Postcard,High,Medium,2,2
472,Yes,Air Miles,Postcard,Low,Medium,3,5
473,Yes,Points,Postcard,Low,Low,2,3
474,Yes,Air Miles,Postcard,High,Low,2,3
475,Yes,Air Miles,Postcard,Medium,Medium,2,4
476,Yes,Points,Postcard,Low,Low,2,4
477,Yes,Points,Letter,Low,Medium,1,3
478,Yes,Points,Letter,Low,Low,1,5
479,Yes,Air Miles,Postcard,Medium,Low,2,1
480,Yes,Points,Postcard,Medium,Low,2,3
481,Yes,Air Miles,Postcard,Medium,Medium,2,3
482,Yes,Air Miles,Postcard,Medium,High,2,6
483,Yes,Points,Letter,Low,Medium,3,3
484,Yes,Cash Back,Postcard,Medium,Low,2,3
485,Yes,Air Miles,Postcard,Medium,Low,2,1
486,Yes,Air Miles,Letter,Medium,Low,1,6
487,Yes,Air Miles,Letter,Low,Low,2,4
488,Yes,Air Miles,Postcard,Low,Low,3,4
489,Yes,Air Miles,Postcard,Low,Medium,1,1
490,Yes,Points,Postcard,Low,Low,2,5
491,Yes,Cash Back,Postcard,Medium,Low,2,4
492,Yes,Air Miles,Postcard,Medium,Medium,2,4
493,Yes,Air Miles,Postcard,High,High,1,4
494,Yes,Points,Letter,Low,Low,1,4
495,Yes,Points,Postcard,Low,Medium,2,5
496,Yes,Air Miles,Postcard,Medium,Low,2,3
497,Yes,Air Miles,Letter,Low,High,3,4
498,Yes,Air Miles,Postcard,High,Low,3,5
499,Yes,Cash Back,Postcard,Medium,Low,1,3
500,Yes,Air Miles,Letter,Medium,High,1,4
501,Yes,Points,Postcard,Low,Low,2,2
502,Yes,Air Miles,Postcard,Low,High,2,2
503,Yes,Points,Letter,High,Low,3,3
504,Yes,Air Miles,Letter,Low,High,2,3
505,Yes,Points,Letter,Medium,Medium,2,3
506,Yes,Air Miles,Letter,Medium,Low,3,3
507,Yes,Air Miles,Postcard,Medium,Low,2,5
508,Yes,Air Miles,Letter,Low,Medium,2,4
509,Yes,Air Miles,Letter,Medium,Low,3,2
510,Yes,Air Miles,Postcard,Low,Low,1,3
511,Yes,Air Miles,Postcard,Low,High,1,2
512,Yes,Air Miles,Postcard,Low,Low,3,3
513,Yes,Cash Back,Letter,Low,Low,3,4
514,Yes,Cash Back,Postcard,Medium,Medium,1,4
515,Yes,Points,Postcard,Medium,Medium,2,3
516,Yes,Points,Postcard,Medium,Low,3,4
517,Yes,Air Miles,Letter,Medium,Low,3,2
518,Yes,Points,Postcard,Medium,Medium,2,3
519,Yes,Points,Postcard,High,Medium,2,5
520,Yes,Points,Postcard,Low,Low,2,6
521,Yes,Air Miles,Postcard,Medium,Low,2,4
522,Yes,Air Miles,Postcard,Medium,Low,3,4
523,Yes,Cash Back,Postcard,Low,Low,1,5
524,Yes,Air Miles,Letter,Low,Medium,2,3
525,Yes,Air Miles,Postcard,High,Low,1,3
526,Yes,Points,Letter,Medium,Medium,2,5
527,Yes,Air Miles,Postcard,Medium,Medium,3,5
528,Yes,Air Miles,Postcard,Medium,Low,1,4
529,Yes,Points,Postcard,Medium,Low,2,2
530,Yes,Cash Back,Postcard,Medium,Low,1,4
